FMID,start,end,zip
1007271,2014-05-24,2014-10-04,88063
1000087,2013-06-01,2013-12-21,11104
1011971,2016-06-11,2016-10-08,84123
1010528,2014-01-01,2014-12-31,95610
1000105,2013-06-29,2013-11-16,11220
1010112,2016-01-01,2016-12-31,32311
1005429,2015-06-03,2015-10-28,54880
1005785,2014-07-01,2014-09-24,49953
1012487,2016-05-04,2016-10-12,98370
1009707,2016-05-03,2016-10-25,29575
1008173,2016-01-01,2017-12-01,33991
1009756,2016-06-25,2016-10-22,96104
1011287,2015-06-03,2015-09-30,54942
1008445,2014-04-25,2014-10-17,97479
1002133,2014-05-15,2014-08-28,95616
1002765,2015-05-09,2015-10-24,49682
1007379,2014-05-03,2014-10-04,30024
1011592,2015-05-01,2015-10-30,28713
1010747,2014-06-07,2014-09-20,43558
1010222,2014-01-01,2014-12-31,70119
1011728,2015-05-23,2015-12-05,19081
1011955,2016-04-01,2016-12-31,30075
1008363,2014-01-01,2014-12-31,49444
1002422,2016-10-16,2017-05-21,33774
1009087,2013-03-15,2013-11-23,47020
1000379,2016-01-04,2016-12-31,21703
1003153,2013-06-25,2013-09-03,13157
1010761,2016-05-07,2016-10-08,46567
1005554,2014-04-05,2014-10-25,74464
1005628,2014-05-10,2015-10-31,74571
1009661,2014-05-15,2014-09-15,99676
1005599,2016-06-17,2016-08-19,36078
1010488,2016-06-09,2016-10-13,44278
1004890,2014-05-10,2014-09-21,99709
1011210,2015-06-06,2015-10-31,11729
1011013,2016-05-07,2016-10-29,27012
1004441,2014-04-19,2014-11-15,22560
1001101,2013-06-29,2013-11-16,10452
1011898,2016-06-01,2016-10-19,15084
1007693,2014-05-24,2014-11-22,10591
1011997,2016-05-28,2016-11-19,10591
1011239,2015-10-01,2016-04-01,12010
1003459,2014-07-14,2014-10-24,26292
1003458,2014-07-01,2014-10-15,26287
1006280,2014-01-01,2014-12-31,38668
1000383,2015-01-01,2015-12-31,25428
1011873,2016-05-05,2016-08-25,29687
1001642,2014-04-18,2014-10-25,62568
1001765,2013-05-07,2013-10-29,24651
1011738,2016-05-07,2016-10-29,29602
1002735,2013-01-01,2013-12-31,70560
1010236,2014-05-24,2014-10-11,49286
1003982,2016-06-01,2016-10-14,81435
1010347,2014-06-08,2014-10-26,85281
